公司代碼,上市別,TSE,資料源年,總經理_姓名代碼,總經理_教育程度_代碼,總經理_經理人年資max,總經理_分數,總經理_股數增減比率,總經理_股數增減比率(合計),財務長_姓名代碼,財務長_教育程度_代碼,財務長_經理人年資max,財務長_分數,財務長_股數增減比率,財務長_股數增減比率(合計),獨董_姓名代碼,獨董_教育程度_代碼,獨董_董監事年資max,獨立董事_總分,董監經理人變化_燈號,CRISISCOR,研究發展費用率
1333,OTC,M2328,2007,P000041035,3,6.5,1,0,0,P000133434,2,2.08,1,0,0,P000022140&P000132495&P000137096,2,4.33,3,1,0,2.47
1333,OTC,M2328,2008,P000041035,3,7.5,1,0,0,,6,,0,0,0,P000139754&P000132495&P000137096,2,3.83,4,1,0,2.14
1333,OTC,M2328,2009,P000013309,4,8.5,1,0,0,,6,,0,0,0,,6,,0,1,0,2.98
1333,OTC,M2328,2011,P000041036,3,0.83,1,0,0,,6,,0,0,0,P000132495,3,4.83,3,1,0,5.56
1333,OTC,M2328,2012,P000041035,3,11.5,1,0,0,,6,,0,0,0,P000178157&P000132495,3,5.83,3,1,0,3.71
1333,OTC,M2328,2014,P000041035,3,13.67,1,0,0,P000133434,2,9.25,1,0,0,P000139754&P000223452,3,7,3,1,0,1.09
1333,OTC,M2328,2015,P000041035,3,14.67,1,0,0,P000133434,2,10.25,1,0,0,P000218110&P000139754,3,8,1,1,0,1.32
1333,OTC,M2328,2016,P000041035,3,15.67,1,-0.400080418,-0.400080418,P000133434,2,11.25,1,0,0,P000139754,3,9,1,1,0,2.01
1333,OTC,M2328,2017,P000041035,3,16.67,1,0.345174263,0.345174263,,6,,0,0,0,,6,,0,1,0,3.45
1333,OTC,M2328,2018,P000281329,2,0.08,1,0,0,P000279728,2,0.33,1,0,0,P000275710&P000134623,2,0.83,2,1,0,1.79
1336,OTC,M2328,2007,P000109298,5,20.67,0,0,0,P000138338&P000109299,2,4.17,1,0,0,P000109292&P000131523,1,2.83,1,1,0,0.25
1336,OTC,M2328,2008,P000109298,5,21.67,0,0,0,P000138338&P000109299,2,5.17,1,0,0,P000139118&P000109292&P000131523,1,3.83,2,1,0,0.34
1336,OTC,M2328,2009,P000147701&P000109298,2,22.67,1,0,0,P000109299,5,6.17,1,0,0,,6,,0,1,0,0.83
1336,OTC,M2328,2010,P000147701,2,2,1,0,0,P000109299,5,7.08,1,0,0,,6,,0,1,0,2.08
1336,OTC,M2328,2011,P000164214,3,1.5,1,0,0,P000159617,3,1.83,1,0,0,P000139118&P000131523,1,4.83,1,1,0,1.21
1336,OTC,M2328,2012,P000164214&P000109295,3,2.67,1,0,0,P000159617,2,2.83,1,0,0,P000139118&P000131523,1,5.83,1,1,0,0.49
1336,OTC,M2328,2013,P000109295,4,3.67,1,0.031181156,0.031181156,P000159617,2,3.83,1,0,0,P000139118&P000131523,1,6.83,1,1,0,0
1336,OTC,M2328,2017,P000109295,4,7.75,1,0,0,P000154576,3,9.25,1,0,0,P000251955&P000251958&P000251963,2,0.83,2,1,0,0
1471,TSE,M2328,2007,P000090309,3,4.83,1,0,0,P000131408&P000130010,3,1.67,1,0,0,P000132373,2,1.92,2,1,0,0.46
1471,TSE,M2328,2008,P000090309,3,5.83,1,0,0,P000128978,3,2.33,1,0,0,P000132373,2,2.92,2,1,0,0.29
1471,TSE,M2328,2011,P000090309,3,8.83,1,0,0,,6,,0,0,0,P000132373,2,5.92,2,1,0,0.35
1471,TSE,M2328,2012,P000090309,3,9.83,1,0,0,,6,,0,0,0,,6,,0,1,0,0.33
1471,TSE,M2328,2013,P000090309,3,10.83,1,0,0,P000128978,2,7.33,1,0,0,,6,,0,1,0,0.24
1471,TSE,M2328,2015,P000090309,3,12.92,1,0,0,P000128978,2,9.42,1,0,0,P000190583,2,0.92,2,1,0,0.07
1471,TSE,M2328,2016,P000090309,3,13.83,1,0,0,P000128978,2,10.33,1,0,0,P000190583&P000143000,2,1.83,2,1,0,1.91
1471,TSE,M2328,2018,P000090309,3,15.83,1,-0.218324079,-0.218324079,P000128978,2,12.33,1,0,0,P000270124&P000143000,1,2.83,2,1,0,1.58
1569,OTC,M2325,2007,P000092078,3,10.08,1,0,0,P000037431,3,5.58,1,0,0,P000108076&P000059140,2,3.92,2,1,0,0.6
1569,OTC,M2325,2009,P000092078,3,12.08,1,0,0,P000037431,3,7.58,1,0,0,P000108076&P000153717&P000059140,2,5.92,2,1,0,0.61
1569,OTC,M2325,2010,P000092078,3,13.08,1,0,0,P000037431,3,8.58,1,0,0,P000153717&P000059140,2,6.92,2,1,0,0.51
1582,TSE,M2328,2008,P000125742,3,0.33,1,0,0,,6,,0,0,0,P000053549&P000014935,2,3.92,4,1,0,0.72
1582,TSE,M2328,2009,P000125742,3,1.33,1,0,0,P000123633,5,3.83,1,0,0,P000053549&P000014935,2,4.92,4,1,0,0.94
1582,TSE,M2328,2012,P000125742,3,4.33,1,0,0,,6,,0,0,0,P000053549&P000014935,2,7.92,4,1,0,1.21
1582,TSE,M2328,2014,P000125742,3,6.33,1,-0.121512904,-0.121512904,P000123633,5,8.83,1,0,0,P000053549&P000014935,2,9.92,4,1,0,1.06
1582,TSE,M2328,2017,P000125742,3,9.42,1,-0.427657305,-0.427657305,,6,,0,0,0,P000053549&P000014935,2,13,4,1,0,1.56
1582,TSE,M2328,2018,P000125742,3,10.33,1,-0.539440994,-0.539440994,P000123633,2,12.83,1,-0.875,-0.875,P000053549&P000014935,2,13.92,4,1,0,1.67
1595,OTC,M2328,2012,P000163987,3,14.08,1,-0.036220472,-0.036220472,P000174024,3,6.75,1,0,0,P000104089&P000165817&P000086739,2,2.25,3,1,0,3.06
1595,OTC,M2328,2017,P000163987,2,19.08,1,0,0,P000174024,3,11.75,1,inf,inf,P000226174&P000104089&P000086739,2,7.25,2,1,0,5.18
1785,OTC,M2331,2007,P000064887,5,5.42,1,0,0,P000034912&P000136895,5,5,1,0,0,P000058089&P000016325&P000018453,1,5.42,3,1,0,0.94
1785,OTC,M2331,2008,P000064887,5,6.42,1,0,0,P000136895,5,1.33,1,0,0,P000016325&P000018453,2,4.83,3,1,0,0.74
1785,OTC,M2331,2009,P000053401,1,2.83,1,0,0,P000136895,5,2.33,1,0,0,P000016325&P000018453,2,5.83,3,1,0,0.57
1785,OTC,M2331,2010,P000064887,5,8.42,1,0,0,P000136895,2,3.33,1,0,0,P000016325&P000018453,2,6.83,3,1,0,0.55
1785,OTC,M2331,2013,P000064887,5,11.42,1,0,0,P000136895,2,6.33,1,0,0,P000065072&P000016325,1,9.83,2,1,0,1.29
1785,OTC,M2331,2016,P000076241,2,6.83,1,0,0,P000236091,5,0.5,1,0,0,P000030230&P000011135&P000203026,3,0.75,3,1,1,1.6
1785,OTC,M2331,2017,P000053401,1,10.83,1,-0.116959064,-0.116959064,,6,,0,0,0,P000030230&P000011135&P000203026,3,1.75,3,1,1,1.63
1785,OTC,M2331,2018,P000053401,1,11.83,1,1.298013245,1.298013245,P000236091,3,2.5,1,inf,inf,P000030230&P000011135&P000203026,3,2.75,3,1,0,1.55
1815,OTC,M2328,2008,P000056508&P000130905,3,10.42,1,0,0,P000095463,5,2.08,1,0,0,P000096480&P000136628,1,4.33,2,1,0,0.74
1815,OTC,M2328,2009,P000054697,2,1.75,1,0,0,P000095463,5,3.08,1,0,0,P000096480&P000136628,1,5.33,2,1,0,0.62
1815,OTC,M2328,2010,P000054697,2,2.83,1,0,0,P000095463,5,4.17,1,0,0,P000153081&P000096480&P000136628,1,6.42,2,1,0,0.53
1815,OTC,M2328,2011,P000054697,2,3.83,1,0,0,P000095463,2,5.17,1,0,0,P000153081&P000096480,1,7.42,2,1,0,0.41
1815,OTC,M2328,2012,P000054697,2,4.83,1,0,0,P000087724,2,10.08,1,0,0,P000153081&P000096480,1,8.42,2,1,0,0.42
1815,OTC,M2328,2014,P000054697,2,6.83,1,0,0,P000214409,3,0.08,1,0,0,P000153081&P000096480,1,10.42,2,1,0,0.44
1815,OTC,M2328,2015,P000054697,2,7.83,1,0,0,P000071819,3,17.5,1,0,0,P000153081&P000096480,1,11.42,2,1,0,0.44
1815,OTC,M2328,2017,P000054697,2,9.75,1,-0.419942135,-0.419942135,P000071819,3,19.42,1,0,0,P000153081&P000093957&P000096480,1,13.33,2,1,0,0.51
2059,TSE,M2328,2007,P000043720,3,7.75,1,0,0,P000103535,5,3.17,1,0,0,P000038630&P000095342,3,3.92,2,1,0,2.2
2059,TSE,M2328,2009,P000043720,3,9.83,1,0,0,P000103535,5,5.25,1,0,0,P000033697&P000038630&P000095342,3,6,2,1,0,3.96
2059,TSE,M2328,2015,P000043720,3,15.83,1,0,0,P000103535,3,11.25,1,0,0,P000033697&P000191572&P000095342,2,12,2,1,0,3.5
2059,TSE,M2328,2018,P000043720,3,18.83,1,0,0,P000103535,3,14.25,1,0,0,P000033697&P000191572&P000270151,2,15,3,1,0,4.66
2301,TSE,M2325,2007,P000018447,2,7,1,0,0,P000044615,2,4.33,1,0,0,P000105882&P000006084&P000012160&P000132591,2,7,4,1,0,1.76
2301,TSE,M2325,2008,P000018447,2,8,1,0,0,P000027329,5,4.5,1,0,0,P000105882&P000006084&P000132591,2,1.83,4,1,0,2.16
2301,TSE,M2325,2010,P000087044,3,8.42,1,0,0,P000027329,3,6.5,1,0,0,P000105882&P000006084&P000132591,2,3.83,4,1,0,1.98
2301,TSE,M2325,2011,P000011212,3,11,1,0,0,P000027329,3,7.5,1,0,0,P000105882&P000006084&P000132591,2,4.83,4,1,0,2.21
2301,TSE,M2325,2014,P000011212,3,14,1,-0.044049132,-0.044049132,,6,,0,0,0,P000105882&P000006084&P000132591,2,7.83,4,1,0,2.76
2301,TSE,M2325,2016,P000011212,3,16,1,-0.025385418,-0.025385418,P000027329,3,12.5,1,0.006166495,0.006166495,P000105882&P000006084&P000132591&P000093898,2,9.83,4,1,0,2.66
2301,TSE,M2325,2017,P000033163,3,1.83,1,0,0,P000027329,3,13.5,1,-0.153217569,-0.153217569,P000006084&P000132591&P000093898,2,10.83,3,1,0,2.99
2301,TSE,M2325,2018,P000011212,3,18,1,0,0,P000027329,3,14.5,1,0,0,P000006084&P000132591&P000093898,2,11.83,3,1,0,3.07
2302,TSE,M2324,2007,P000008548,3,10.92,0,0,0,P000034977&P000136319,3,8.5,0,0,0,,6,,0,1,0,
2302,TSE,M2324,2008,P000008548,3,11.92,0,0,0,P000136319,3,1.33,0,0,0,,6,,0,1,0,
2302,TSE,M2324,2009,P000008548,3,12.92,0,0,0,,6,,0,0,0,,6,,0,1,0,
2302,TSE,M2324,2010,P000008548,3,13.92,0,0,0,P000136319,3,3.33,0,0,0,,6,,0,1,0,
2302,TSE,M2324,2016,P000008548,3,19.92,0,0,0,P000136319,3,9.33,0,0,0,P000231307&P000231309,1,0.75,0,1,0,0.73
2302,TSE,M2324,2017,P000008548,3,20.92,0,0,0,,6,,0,0,0,P000231307&P000231309,1,1.75,0,1,0,1.21
2302,TSE,M2324,2018,P000041811,2,2.75,0,0,0,P000136319,3,11.33,0,0,0,P000231307&P000231309,1,2.75,0,1,0,0.88
2303,TSE,M2324,2007,P000050133,1,6.83,1,0,0,P000111641,2,2.42,1,0,0,P000017303&P000013465&P000085154,1,3.75,5,1,0,8.5
2303,TSE,M2324,2008,P000050133&P000051131,1,9.17,1,0,0,P000111641,2,3.33,1,0,0,P000017303&P000013465&P000085154,1,4.67,5,1,0,8.55
2303,TSE,M2324,2009,P000051131,1,10.17,1,0,0,P000111641,2,4.33,1,0,0,P000017303&P000013465&P000152510&P000085154,1,5.67,5,1,0,8.8
2303,TSE,M2324,2012,P000111657,2,7.33,1,0,0,P000111641,2,7.33,1,0,0,P000017303&P000013465&P000152510&P000085154,1,8.67,5,1,0,8.46
2303,TSE,M2324,2015,P000111657,2,10.33,1,0.07174173,0.07174173,P000111641,2,10.33,1,1.875,1.875,P000216622&P000017303&P000013465&P000152510&P000085154,1,11.67,5,1,0,8.41
2303,TSE,M2324,2016,P000111657,2,11.17,1,0,0,P000111641,2,11.17,1,0,0,P000216622&P000017303&P000152510&P000085154,1,10.5,4,1,0,9.15
2303,TSE,M2324,2017,P000111657,2,12.67,1,-0.003718855,-0.003718855,P000111641,2,12.67,1,0,0,P000216622&P000152510&P000085154,1,12,4,1,0,9.16
2303,TSE,M2324,2018,P000146057&P000100682,3,14.33,1,5.699208443,5.699208443,P000111641,2,13.42,1,0.326086957,0.326086957,P000216622&P000251843&P000268684&P000152510,1,9.75,3,1,0,8.61
2305,TSE,M2325,2009,P000012398,2,16.67,1,0,0,P000086337,2,9.5,1,0,0,,6,,0,1,0,9.12
2305,TSE,M2325,2012,P000012398,2,19.67,1,0,0,,6,,0,0,0,,6,,0,1,0,14.5
2305,TSE,M2325,2014,P000012398,2,21.67,1,0,0,P000086337,2,14.5,1,0,0,,6,,0,1,0,11.01
2305,TSE,M2325,2017,P000012398,2,24.58,1,0,0,,6,,0,0,0,P000191337&P000039008&P000056678,2,9.75,2,1,0,15.49
2305,TSE,M2325,2018,P000086337,2,18.42,1,0,0,P000086337,2,18.42,1,0,0,P000191337&P000039008&P000056678,2,10.75,2,1,0,16.21
2308,TSE,M2328,2009,P000048254,3,8.83,1,0,0,P000010103,3,23.92,1,0,0,P000012487,3,6.83,1,1,0,5.37
2308,TSE,M2328,2011,P000011220,2,8.92,1,0,0,P000010103,2,26,1,0,0,P000012487,3,8.92,1,1,0,5.8
2308,TSE,M2328,2012,P000089494,3,9.92,1,0,0,P000010103,2,27,1,-0.361477573,-0.361477573,P000167062&P000123366&P000178050&P000012487,1,9.92,3,1,0,6.39
2308,TSE,M2328,2013,P000089494,3,10.92,1,0.027890761,0.027890761,P000124285,2,0.67,1,0,0,P000167062&P000123366&P000178050,1,1.83,3,1,0,6.37
2308,TSE,M2328,2016,P000089494,3,13.92,1,0,0,P000124285,2,3.67,1,0,0,P000034051&P000167062&P000123366&P000178050,1,4.83,3,1,0,7.23
2312,TSE,M2331,2008,P000141561,1,0.75,1,0,0,P000045720,3,5.58,1,0,0,,6,,0,1,0,1.57
2312,TSE,M2331,2010,P000141561,1,2.75,1,0,0,P000079461,3,10.25,1,0,0,,6,,0,1,0,1.11
2312,TSE,M2331,2013,P000141561,1,5.75,1,1.175640724,1.175640724,P000079461,2,13.25,1,1.530612245,1.530612245,P000193892&P000027622&P000018910,1,0.83,4,1,0,1.39
2312,TSE,M2331,2015,P000141561,1,7.83,1,0,0,P000224149,3,0.5,1,0,0,P000027622&P000018910,1,2.92,4,1,0,1.79
2312,TSE,M2331,2016,P000141561,1,8.75,1,0.244650249,0.244650249,P000224149,3,1.42,1,inf,inf,P000027622&P000018910&P000074782,1,3.83,4,1,0,2.02
2312,TSE,M2331,2018,P000141561,1,10.75,1,0,0,P000224149,3,3.42,1,-0.408888889,-0.408888889,P000018910&P000074782,1,5.83,3,1,0,2.19
2313,TSE,M2328,2007,P000086423,5,8.33,0,0,0,,6,,0,0,0,,6,,0,1,0,0.76
2313,TSE,M2328,2010,P000086423,5,11.33,0,0,0,P000078044,5,8,0,0,0,,6,,0,1,0,1.03
2313,TSE,M2328,2011,P000086423,5,12.33,0,0,0,,6,,0,0,0,,6,,0,1,0,1.14
2313,TSE,M2328,2012,P000027920,5,10,0,0,0,,6,,0,0,0,,6,,0,1,0,1.01
2313,TSE,M2328,2014,P000027920,5,11.67,0,0.249066002,0.249066002,,6,,0,0,0,P000172259&P000172263,5,0.5,0,1,0,0.83
2313,TSE,M2328,2015,P000027920,5,12.67,0,0,0,P000078044,5,12.67,0,0,0,P000172259&P000172263,5,1.5,0,1,0,0.59
2313,TSE,M2328,2017,P000027920,5,15,0,0.874751491,-0.059820538,,6,,0,0,0,P000213626&P000172263&P000086423,5,15.92,2,1,0,0.7
2314,TSE,M2327,2007,P000013800,2,10.5,1,0,0,P000073854,2,4.42,1,0,0,,6,,0,1,0,5.16
2314,TSE,M2327,2010,P000013800,2,13.5,1,0,0,P000039933,2,10.42,1,0,0,,6,,0,1,0,9.93
2314,TSE,M2327,2012,P000013800,2,15.5,1,0,0,P000039933,2,12.42,1,0,0,P000185249,2,0.42,1,1,0,11.84
2314,TSE,M2327,2016,P000013800,2,19.5,1,-0.232980333,-0.232980333,P000259034,2,6.83,1,0,0,P000044586&P000226110&P000185249,1,4.42,3,1,0,8.67
2314,TSE,M2327,2017,P000013800,2,20.5,1,-0.059171598,-0.059171598,P000039933,2,17.42,1,-0.506329114,-0.506329114,P000044586&P000226110&P000185249,1,5.42,3,1,0,8.38
2316,TSE,M2328,2007,P000051857,1,9.33,1,0,0,P000131948,3,0.92,0,0,0,,6,,0,1,0,0.92
2316,TSE,M2328,2008,P000131948,3,1.92,0,0,0,P000141217&P000077070,3,3.42,0,0,0,,6,,0,1,0,0.7
2316,TSE,M2328,2009,P000131948,3,2.92,0,0,0,P000141217,3,1.83,0,0,0,,6,,0,1,0,1.34
2316,TSE,M2328,2017,P000131948,3,10.92,0,-0.15,-0.15,,6,,0,0,0,P000118712&P000007036&P000191568,1,18,4,1,0,1.04
2316,TSE,M2328,2018,P000131948,3,11.92,0,0,0,P000141217,3,10.83,0,-0.5,-0.5,P000118712&P000007036&P000191568,1,19,4,1,0,1.75
2317,TSE,M2331,2007,P000013345,3,34.17,0,0,0,P000107688,3,10,0,0,0,P000131911&P000131915,2,0.83,4,1,0,0.9
2317,TSE,M2331,2010,P000013345,3,37.17,0,0,0,P000107688,3,13,0,0,0,P000033398&P000131911&P000131915,2,3.83,4,1,0,1.29
2317,TSE,M2331,2011,P000013345,3,38.17,0,0,0,P000107688,3,14,0,0,0,P000033398&P000131915,2,4.83,3,1,0,1.18
2317,TSE,M2331,2015,P000013345,3,42.17,0,0.08700546,0.030271066,,6,,0,0,0,P000033398&P000131915,2,8.83,3,1,0,1.17
2317,TSE,M2331,2016,P000013345,3,43.17,0,0.074923263,0.074923263,,6,,0,0,0,P000231024&P000190790&P000082017,1,0.83,2,1,0,1.17
2317,TSE,M2331,2017,P000013345,3,44.17,0,-0.235643646,0,,6,,0,0,0,P000024190&P000231024&P000082017,1,1.83,4,1,0,1.74
2317,TSE,M2331,2018,P000013345,3,45.17,0,-0.181489881,-0.185851673,P000107688,3,21,0,-0.041512231,-0.041512231,P000024190&P000231024&P000082017,1,2.83,4,1,0,1.59
2321,TSE,M2327,2009,,6,,0,0,0,P000052341,3,9.92,0,0,0,,6,,0,1,0,5.38
2321,TSE,M2327,2010,P000159037,2,1,0,0,0,P000052341,3,10.92,0,0,0,,6,,0,1,0,4.41
2321,TSE,M2327,2011,P000159037,2,2,0,0,0,P000057345,2,2.08,0,0,0,,6,,0,1,0,2.3
2321,TSE,M2327,2012,P000266393&P000159037,2,3,0,0,0,P000057345,2,3.08,0,0,0,,6,,0,1,0,2.78
2321,TSE,M2327,2013,P000266393,3,1.67,0,0,0,,6,,0,0,0,,6,,0,1,0,2.71
2321,TSE,M2327,2014,P000266393,3,2.67,0,0,0,P000178736,2,2.5,1,0,0,,6,,0,1,0,2.67
2321,TSE,M2327,2015,P000266393,3,3.67,0,0,0,P000178736,2,3.5,1,0,0,P000191335&P000191336,1,0.83,2,1,0,3.4
2321,TSE,M2327,2016,P000233934,3,0.75,1,0,0,P000178736,2,4.5,1,0,0,P000191335&P000191336,1,1.83,2,1,0,3.47
2321,TSE,M2327,2017,P000233934,3,1.75,1,0,0,,6,,0,0,0,P000191335&P000191336,1,2.83,2,1,0,4.34
2321,TSE,M2327,2018,P000233934,3,2.75,1,0,0,P000178736,2,6.5,1,0,0,P000207220&P000191335&P000191336,1,3.83,3,1,0,5.87
2323,TSE,M2326,2012,P000011253,3,34.33,1,0,0,P000143835,3,6.75,1,-0.072463768,-0.072463768,P000177896&P000019871,1,0.83,3,1,0,1.57
2323,TSE,M2326,2015,P000011253,3,37.33,1,-0.173822501,-0.173822501,P000143835,3,9.75,1,-0.171428571,-0.171428571,P000177896&P000196044&P000019871,1,3.83,3,1,0,2.5
2323,TSE,M2326,2016,P000011253,3,38.33,1,0,0,P000235511,2,0.58,1,0,0,P000177896&P000196044&P000019871,1,4.83,3,1,0,2.72
2324,TSE,M2325,2012,P000009981,3,23.83,1,0,0,P000032787,3,10.25,1,0,0,P000013050&P000088437&P000089131,1,0.83,3,1,0,1.62
2324,TSE,M2325,2018,P000052899,2,16.25,1,0.130679877,0.130679877,P000032787,3,16.25,1,-0.108192548,-0.108192548,P000013050&P000088437&P000089131,1,6.83,3,1,0,1.32
2327,TSE,M2328,2007,P000103437,2,3.83,1,0,0,,6,,0,0,0,P000041559&P000132182&P000048358&P000007036,1,9.83,4,1,0,1.64
2327,TSE,M2328,2008,P000019682&P000012416,1,15.5,1,0,0,P000057865,2,1.83,1,0,0,P000041559&P000132182&P000007036,1,10.83,4,1,0,1.81
2327,TSE,M2328,2009,P000012416,3,16.5,1,0,0,P000057865,2,2.83,1,0,0,P000132182,2,2.83,2,1,0,1.97
2327,TSE,M2328,2010,P000012416,3,17.5,1,0,0,P000057865,2,3.83,1,0,0,,6,,0,1,0,1.4
2327,TSE,M2328,2012,P000012416,3,19.5,1,4.609185052,4.609185052,P000057865,2,5.83,1,0,0,P000008056&P000007779&P000064701,2,19.5,3,1,0,1.38
2327,TSE,M2328,2014,P000057865,2,7.83,1,inf,inf,,6,,0,0,0,P000008056&P000007779&P000064701,2,21.5,3,1,0,1.31
2327,TSE,M2328,2015,P000057865,2,8.83,1,0,0,,6,,0,0,0,P000008056&P000064701,2,22.5,3,1,0,1.33
2327,TSE,M2328,2018,P000057865,2,11.83,1,7.168316832,7.168316832,P000227077,3,3.08,1,-1,-1,P000008056&P000211519&P000064701,1,25.5,3,1,0,0.54
2328,TSE,M2328,2007,P000020745,4,14.42,0,0,0,P000077408,3,6.25,0,0,0,,6,,0,1,0,0.27
2328,TSE,M2328,2017,P000020745,4,24.42,0,-0.203442879,-0.203442879,P000077408,3,16.25,0,-0.93,-0.93,P000045499&P000190609&P000097223,2,0.83,2,1,0,0.74
2329,TSE,M2324,2016,P000100710,3,12.33,1,0,0,P000010442,2,15.08,1,0,0,P000046234&P000191855,1,12.5,2,1,0,1.52
2330,TSE,M2324,2009,P000000851,1,23.17,1,0,0,P000028997,2,10.75,1,0,0,P000123218&P000018383&P000017152&P000148938&P000016642,1,9.92,3,1,0,7.3
2330,TSE,M2324,2010,P000000851,1,24.08,1,0,0,P000028997,2,11.67,1,0,0,P000018383&P000017152&P000148938,1,10.83,3,1,0,7.08
2330,TSE,M2324,2011,P000000851,1,25.08,1,0,0,P000028997,2,12.67,1,0,0,P000018383&P000017152&P000009571&P000148938&P000170659,1,11.83,4,1,0,7.92
2330,TSE,M2324,2013,P000086126&P000010249,1,20.25,1,0.007121106,0.007121106,P000028997,2,14.67,1,0,0,P000018383&P000017152&P000009571&P000148938&P000170659,1,13.83,4,1,0,8.06
2330,TSE,M2324,2015,P000086126&P000010249,1,22.25,1,0,0,P000028997,2,16.67,1,-0.297758972,-0.297758972,P000018383&P000017152&P000009571&P000217042&P000148938&P000170659,1,15.83,4,1,0,7.77
2330,TSE,M2324,2016,P000086126&P000010249,1,23.25,1,0,0,P000028997,2,17.67,1,0,0,P000018383&P000017152&P000009571&P000217042&P000148938,1,16.83,4,1,0,7.51
2330,TSE,M2324,2018,P000010249,1,21,1,0,0,P000028997,2,19.67,1,0.006694934,0.006694934,P000018383&P000017152&P000009571&P000217042,1,18.83,4,1,0,8.33
2331,TSE,M2325,2007,P000008826,2,1.92,1,0,0,P000087719,3,4.58,1,0,0,P000064859&P000079366,1,1.92,2,1,0,1.13
2331,TSE,M2325,2008,P000050738&P000060546&P000019988,2,14.75,1,0,0,,6,,0,0,0,P000064859&P000079366,1,2.92,2,1,0,1.15
2331,TSE,M2325,2009,P000060546,2,1.83,1,0,0,P000087719,3,6.58,1,0,0,P000150551&P000064859&P000073867&P000079366,1,3.92,5,1,0,1.55
2331,TSE,M2325,2010,P000060546,2,2.83,1,0,0,P000087719,3,7.58,1,0,0,P000150551&P000073867&P000079366,1,4.92,5,1,0,1.75
2331,TSE,M2325,2011,P000060546,2,3.83,1,0,0,,6,,0,0,0,P000150551&P000073867,1,2.92,4,1,0,1.42
2331,TSE,M2325,2012,P000060546,2,4.83,1,0,0,P000177068&P000087719,2,9.58,1,0,0,P000150551&P000073867,1,3.92,4,1,0,1.35
2331,TSE,M2325,2013,P000060546&P000134766,2,7.17,1,0,0,P000177068,2,2,1,0,0,P000150551&P000073867,1,4.92,4,1,0,1.65
2331,TSE,M2325,2014,P000134766,2,8.17,1,inf,inf,P000177068,2,3,1,0,0,P000150551&P000073867,1,5.92,4,1,0,2.19
2331,TSE,M2325,2017,P000134766,2,11.17,1,0,0,P000177068,2,6,1,0,0,P000252097&P000150551&P000073867,1,8.92,4,1,0,3.72
2332,TSE,M2327,2007,P000016185&P000005918,2,13.58,1,0,0,P000104562,2,10.75,1,0,0,P000015187,2,3.92,3,1,0,2.9
2332,TSE,M2327,2008,P000058751&P000082661,2,8.33,1,0,0,P000104562,2,11.75,1,0,0,,6,,0,1,0,2.03
2332,TSE,M2327,2009,P000058751,2,9.33,1,0,0,P000104562,2,12.75,1,0,0,,6,,0,1,0,2.33
2332,TSE,M2327,2011,P000054295,2,11.33,1,0,0,P000172747,2,0.58,1,0,0,,6,,0,1,0,2.59
2332,TSE,M2327,2012,P000054295&P000104562,2,15.75,1,0,0,P000172747,2,1.58,1,0,0,,6,,0,1,0,2.95
2332,TSE,M2327,2014,P000092199,3,14.33,1,inf,inf,P000172747,2,3.58,1,0,0,,6,,0,1,0,3.71
2332,TSE,M2327,2015,P000092199,3,15.33,1,64.82926829,64.82926829,P000100753,2,0.67,1,inf,inf,P000073778&P000095656,1,0.83,4,1,0,5.3
2332,TSE,M2327,2016,P000097182,2,10.08,1,1,1,P000173464,2,5.42,1,4.8125,4.8125,P000073778&P000095656,1,1.67,4,1,0,5.4
2332,TSE,M2327,2017,P000097182,2,11.25,1,2.995,2.995,P000256086,2,0.67,1,inf,inf,P000073778&P000075349&P000095656,1,2.83,4,1,0,4.66
2337,TSE,M2324,2007,P000010049,2,18.58,1,0,0,,6,,0,0,0,P000048066&P000132826&P000085154&P000089131&P000098432,1,7,2,1,0,12.78
2337,TSE,M2324,2008,P000010049,2,19.58,1,0,0,,6,,0,0,0,P000132826&P000089131&P000098432,1,1.83,1,1,0,13.17
2337,TSE,M2324,2009,P000007224,1,10.5,1,0,0,P000080698,2,18.75,1,0,0,P000132826&P000089131&P000098432,1,2.83,1,1,0,10.54
2337,TSE,M2324,2010,P000007224,1,11.5,1,0,0,P000080698,2,19.75,1,0,0,P000007957&P000132826&P000089131&P000098432,1,16.17,1,1,0,11.56
2337,TSE,M2324,2011,P000010049,2,22.58,1,0,0,,6,,0,0,0,P000132826&P000017053&P000098432,1,4.83,3,1,0,15.09
2337,TSE,M2324,2014,P000010049,2,25.58,1,0.04955647,0.04955647,P000080698,2,23.75,1,0.083018868,0.083018868,P000132826&P000017053&P000098432,1,7.83,3,1,0,28.71
2337,TSE,M2324,2017,P000010049,2,28.58,1,-0.4642474,-0.4642474,,6,,0,0,0,P000132826&P000017053&P000098432,1,10.83,3,1,0,11.8
2337,TSE,M2324,2018,P000010049,2,29.58,1,0.077137385,0.077137385,P000080698,2,27.75,1,0.089700997,0.089700997,P000132826&P000017053&P000098432,1,11.83,3,1,0,11.53
2338,TSE,M2324,2007,P000020367,3,19.92,1,0,0,P000083060,2,8.75,1,0,0,,6,,0,1,0,3.27
2338,TSE,M2324,2015,P000020367,3,27.92,1,0,0,P000083060,2,16.75,1,0,0,P000124184&P000088864,1,9.83,1,1,0,7.2
